age,income,loan_amount,credit_score,employment_years,default
22,42436,20721,709,22,0
34,62963,24238,760,7,0
60,22096,16087,690,4,0
60,149940,35816,343,21,1
59,133737,28408,326,27,0
26,45279,44740,396,0,1
26,141092,5136,847,14,0
23,128899,22413,518,5,0
27,134245,23978,484,11,0
28,46201,5661,368,7,0
62,39715,40240,429,12,1
35,49309,32253,633,18,0
49,35078,31884,453,26,1
53,76614,37854,846,0,0
50,25105,15704,378,10,0
59,137666,43987,712,19,0
47,114848,29527,845,0,0
56,22839,21322,468,29,0
49,88920,11968,814,7,0
58,63619,32518,613,4,0
53,62821,32886,331,16,1
57,145736,6700,586,29,0
47,33493,33246,342,7,1
53,37069,40468,300,24,1
24,132443,28199,569,9,0
42,27531,49589,479,1,1
22,57051,37115,817,8,0
30,27736,10520,402,23,0
25,27710,49278,309,22,1
30,87155,41455,389,2,1
53,33975,25929,525,17,0
58,82424,46605,425,6,1
33,65603,19955,508,14,0
51,43252,49049,396,20,1
56,100797,18917,373,21,0
44,21431,9757,490,19,0
35,94603,18045,355,17,0
49,57481,46680,331,24,1
28,112573,9733,826,2,0
25,29557,35954,583,27,1
49,94971,36135,793,29,0
24,123302,12081,486,22,0
32,20162,46458,797,13,0
22,54742,28501,741,23,0
47,39675,26113,429,1,0
51,93997,39441,591,13,1
56,37015,29690,413,21,0
56,70057,48939,498,10,1
46,52591,34345,312,15,1
63,113583,49571,570,7,1
47,146133,31829,514,6,1
25,120318,40062,743,10,0
40,29833,8630,811,2,0
31,27896,36870,746,16,0
30,52972,49942,373,13,1
60,69733,8453,836,5,0
58,140363,42275,400,7,1
26,61800,48370,475,21,1
28,116044,43396,726,4,0
43,25347,13328,416,26,0
46,79063,20534,465,27,0
63,115850,24744,340,7,0
32,22643,24389,728,1,0
46,60785,41320,643,14,0
33,38681,40010,723,11,0
60,70026,19665,665,16,0
38,123864,42865,419,0,1
45,35892,13640,528,14,0
53,67299,39716,429,13,1
60,37073,30521,651,19,0
63,122304,35049,617,21,0
32,50682,10618,636,15,0
64,117798,42004,572,28,1
56,146021,6920,416,8,0
24,116894,48937,667,0,0
25,144302,9188,393,27,0
57,34289,17207,467,16,0
28,135359,5238,640,28,0
62,27927,37972,451,12,1
48,68330,15799,573,20,0
51,86707,10552,795,25,0
29,140279,33916,400,20,1
49,97454,9927,381,4,0
34,127439,32964,828,9,0
60,124646,16164,372,5,0
61,85428,42158,313,23,1
42,70601,24071,732,18,0
31,97465,11160,456,24,0
43,22539,20810,431,12,0
21,122263,10126,637,0,0
57,131487,35009,703,19,0
41,42669,38584,675,24,0
46,90968,30396,406,14,1
56,40644,5192,564,13,0
43,38745,41413,504,7,1
21,140852,17816,378,9,0
60,148081,44082,454,8,1
35,48228,37130,546,16,1
41,138358,45142,830,8,0
29,54521,41468,837,2,0
29,142788,35698,453,10,1
30,117239,15655,453,11,0
46,46928,35075,391,9,1
61,38322,14359,732,24,0
55,77714,41661,637,16,0
45,107896,44579,779,16,0
46,82292,47056,430,24,1
31,49055,38272,749,10,0
58,62891,47581,572,29,1
22,101912,19671,476,21,0
27,26588,32048,348,3,1
38,110536,15738,654,6,0
47,26304,30963,607,20,0
54,27345,48954,345,25,1
47,49300,11773,601,13,0
37,44259,41584,707,6,0
63,111006,34894,488,23,1
64,108553,5717,428,7,0
44,35352,16676,836,0,0
45,149350,9434,565,23,0
27,53365,42825,417,21,1
26,39446,34100,763,3,0
44,22336,9994,443,28,0
53,82032,9234,741,29,0
49,95415,8764,499,11,0
63,117852,48949,456,23,1
42,118876,42405,786,2,0
46,27521,39872,433,12,1
48,91707,47215,447,19,1
41,43481,28185,635,5,0
27,38474,48442,370,10,1
37,66760,46153,532,22,1
40,75718,16999,633,3,0
61,64629,41487,389,19,1
40,65232,7581,633,15,0
42,106544,7763,498,6,0
48,87169,32374,460,21,1
60,147941,43759,837,28,0
27,70669,15531,420,10,0
21,98021,30307,600,23,0
52,129153,35835,735,0,0
33,89184,16064,367,25,0
50,67945,16312,758,28,0
43,33140,42548,813,26,0
39,146468,41945,697,6,0
52,103457,11476,585,11,0
50,34357,29565,439,6,0
49,131672,7382,581,26,0
49,88673,27463,756,22,0
50,141673,38402,386,6,1
36,85633,31345,378,9,1
60,96943,49764,504,29,1
39,116111,31946,636,15,0
38,98258,19162,553,25,0
21,32924,13397,603,7,0
34,89286,27335,679,8,0
22,113269,19394,429,8,0
48,147563,32197,575,1,1
50,94071,27010,482,12,0
58,77326,29123,567,12,0
24,110023,27387,621,22,0
21,140101,7890,811,22,0
28,50651,32769,377,3,1
49,90202,48626,638,24,0
59,68777,13026,808,23,0
23,36994,8306,537,11,0
52,87263,38665,433,16,1
30,79634,14277,491,1,0
30,120158,47239,655,12,0
39,30800,19683,577,28,0
54,57823,5670,317,17,0
53,128575,28675,823,27,0
43,83878,22889,479,27,0
48,38708,49535,422,26,1
52,32819,18006,545,14,0
27,94905,31531,672,7,0
49,83870,26639,350,14,0
28,29283,21633,370,0,0
21,50573,39660,779,19,0
23,98707,8439,318,9,0
44,50933,37172,383,11,1
43,25774,40622,454,4,1
28,92055,16577,656,8,0
57,30983,16763,742,22,0
23,116468,25176,368,7,0
53,116334,49386,822,15,0
48,38133,29255,442,13,0
28,145555,46003,491,26,1
54,34939,24996,686,24,0
55,20781,40386,677,12,0
52,134586,26062,834,22,0
44,76700,40931,592,20,1
34,47624,40710,308,12,1
52,26823,39693,570,4,1
63,38489,40740,686,15,0
36,138555,16705,392,25,0
24,59961,48408,828,10,0
57,139664,33047,453,21,1
41,49118,15966,704,4,0
34,120417,22374,448,12,0
51,101816,16138,566,27,0
38,42263,20935,721,10,0
27,33565,5489,771,24,0
30,40354,49516,846,18,0
27,62951,27260,825,2,0
53,111179,31069,802,14,0
43,43648,24275,313,6,0
41,70729,41284,663,6,0
39,61971,44178,418,5,1
39,38658,37821,537,2,1
56,41253,21999,845,29,0
49,84166,43712,468,12,1
38,68563,45172,821,6,0
22,46390,38722,815,4,0
21,108664,15625,696,22,0
25,71578,6629,405,17,0
40,99025,15973,384,21,0
31,123850,11859,513,29,0
62,52658,46609,420,7,1
22,26852,48307,431,16,1
23,147282,41046,496,19,1
43,114986,26839,318,26,0
32,22551,32216,311,0,1
40,91947,23945,380,13,0
25,81001,11539,629,16,0
57,69159,38625,691,9,0
58,142775,9886,606,11,0
50,71707,12485,566,15,0
29,53243,36455,746,13,0
54,41800,21767,740,29,0
64,95939,33453,301,26,1
55,77828,15744,819,15,0
42,27239,42102,608,7,0
64,26710,17226,821,22,0
44,41384,32869,768,27,0
37,41038,27588,511,9,0
30,60846,18440,411,28,0
50,107983,36709,307,16,1
43,87821,27495,776,26,0
52,57991,42019,759,29,0
37,99057,49948,552,28,1
37,133193,5922,825,17,0
34,26971,32526,737,19,0
29,49139,12957,535,15,0
60,105445,38998,605,16,0
22,97067,48395,777,15,0
45,100257,29031,319,18,0
59,104742,15006,515,23,0
29,57711,42701,434,23,1
42,26530,30939,428,7,1
63,31116,25324,709,5,0
24,85794,27867,721,5,0
46,20282,5203,593,20,0
49,99473,21544,545,28,0
54,21898,20899,385,8,0
43,24135,34063,674,3,0
57,26629,30344,745,25,0
31,129472,8748,677,11,0
26,145147,44486,689,27,0
38,105120,6093,350,11,0
41,139798,20228,541,22,0
62,109087,25884,593,16,0
56,85031,30183,565,14,1
61,53380,21034,419,8,0
58,149951,10710,547,6,0
54,132507,47500,369,9,1
37,37071,24259,356,15,0
57,40074,40959,681,11,0
45,110724,38457,338,24,1
58,87843,25143,742,6,0
32,59901,7103,317,17,0
43,31205,5365,651,14,0
62,75661,49535,597,5,1
42,144661,21103,582,25,0
41,25906,37510,409,11,1
47,22591,29476,479,10,0
51,145576,17742,843,19,0
26,82987,17391,324,2,0
47,83370,41940,356,1,1
60,100685,33901,479,5,1
54,130454,37001,531,23,1
32,125487,20623,642,21,0
27,74400,7378,776,24,0
30,45150,26372,754,29,0
37,51852,49799,531,4,1
46,62870,43437,588,17,1
41,139796,40503,512,15,1
48,72756,35746,557,7,1
22,135357,32923,829,24,0
63,139052,14867,528,29,0
21,76481,46258,525,25,1
56,21283,38724,734,19,0
46,53691,14306,701,21,0
49,21125,44391,387,10,1
41,87065,19908,841,9,0
31,148734,32081,608,23,0
60,46170,42228,642,24,0
31,28438,28386,735,11,0
56,40095,33302,476,20,1
59,36154,24212,438,27,0
60,28004,40618,493,5,1
55,29752,15698,485,26,0
54,75426,9594,517,19,0
44,128896,30525,463,4,1
42,46819,19282,460,22,0
25,122168,19334,824,8,0
53,112051,34179,341,25,1
56,147905,11644,509,26,0
40,44217,40618,574,28,1
39,145949,37933,578,15,1
55,108708,48469,550,21,1
63,52994,38687,609,13,0
37,35036,46073,439,21,1
63,97275,22375,845,7,0
54,117756,35926,829,26,0
29,69416,41607,356,19,1
46,29587,22642,411,18,0
22,130053,28993,304,13,0
29,115665,49386,709,6,0
29,20645,26188,713,4,0
60,50930,37596,481,17,1
37,101835,32772,312,1,1
21,142232,35857,638,10,0
45,50090,15776,558,21,0
63,107489,37835,389,7,1
60,72142,14788,549,0,0
62,131979,10660,554,26,0
45,46475,9478,407,21,0
59,38888,13210,784,11,0
55,63732,15922,557,1,0
23,101623,41289,581,17,1
57,66305,38340,387,6,1
64,66037,44850,503,25,1
64,29346,43163,315,16,1
50,20587,23642,450,21,0
58,32763,16094,553,29,0
54,79165,27423,487,22,0
32,127481,38418,628,13,0
39,89615,10741,843,23,0
57,56116,11838,696,6,0
64,140987,8262,816,21,0
37,105751,9996,758,24,0
30,111353,49594,629,28,0
32,110301,27164,468,2,0
36,115648,40595,665,26,0
44,45556,35257,477,5,1
39,79042,19211,661,19,0
28,38099,35453,339,1,1
51,129089,10232,715,16,0
41,65096,7217,654,11,0
37,91986,29229,554,11,0
43,33230,19232,442,29,0
57,49009,30613,310,16,1
36,90969,19026,325,26,0
26,53866,33554,720,9,0
28,125400,35908,520,2,1
45,104246,24610,795,19,0
38,96975,44605,536,17,1
45,61855,12031,536,12,0
32,101557,30515,518,11,1
35,26416,41484,786,26,0
46,92516,41182,760,26,0
61,75915,5570,443,29,0
46,38058,37254,488,26,1
52,96637,24288,554,16,0
30,60718,18288,367,3,0
36,52602,34877,635,22,0
27,94658,23889,708,9,0
37,98112,5917,599,10,0
43,78067,15066,656,5,0
46,47516,34504,555,5,1
41,149295,11982,652,26,0
42,107969,44104,820,8,0
27,21089,23062,823,29,0
34,57346,21999,583,14,0
35,94663,14941,611,1,0
27,30487,28470,398,3,0
29,20155,26133,496,4,0
28,143950,49435,781,16,0
43,87494,9529,525,7,0
49,96229,22519,664,7,0
38,124648,17192,667,21,0
51,58547,13566,374,11,0
50,48795,12226,341,20,0
59,75296,42930,721,7,0
55,41447,26259,480,18,0
38,56598,39087,844,2,0
62,61814,6141,370,17,0
59,110751,9627,404,20,0
37,145118,7690,499,18,0
34,95330,45091,400,18,1
51,141347,8255,606,14,0
44,118745,10213,676,5,0
55,107960,41876,698,15,0
64,83278,24404,520,7,0
54,75077,30380,481,15,1
23,132782,30520,606,17,0
57,142046,24173,821,19,0
63,122932,28989,695,15,0
60,91906,47570,303,10,1
46,29528,29519,580,6,0
43,113812,27439,514,16,0
64,70100,16413,719,16,0
59,129869,19995,400,11,0
35,28179,28559,820,12,0
24,68781,28513,608,9,0
49,75267,10021,809,6,0
42,102379,37464,362,13,1
45,43952,26119,525,22,0
33,73798,34299,404,0,1
38,118696,44350,724,16,0
53,130434,30517,554,3,1
36,70939,18117,728,20,0
62,49516,27250,733,4,0
64,76526,23950,506,19,0
22,30449,22359,327,23,0
55,70290,28596,635,22,0
62,146688,30530,368,24,1
54,106661,6262,812,6,0
50,92954,45150,466,9,1
33,42746,27615,667,16,0
33,87990,8327,550,28,0
38,78810,34768,469,29,1
52,138362,33850,389,6,1
52,103297,47788,745,0,0
55,35223,21848,593,6,0
59,92237,44542,449,25,1
49,22597,20160,431,23,0
49,85677,38998,732,10,0
64,22659,32230,358,8,1
36,106516,14076,498,11,0
64,94567,8805,514,2,0
30,35037,36085,771,3,0
50,146498,19715,546,3,0
45,66738,10750,681,27,0
59,123965,18232,538,24,0
40,91678,40903,666,12,0
25,32109,11953,467,22,0
21,42010,37093,350,18,1
50,28787,30500,679,9,0
23,128400,27418,773,4,0
34,28472,39314,379,6,1
50,135111,27449,666,23,0
24,43383,22478,760,15,0
38,81709,40179,838,0,0
57,89785,30338,751,11,0
45,133253,31899,763,1,0
21,54518,9145,777,6,0
35,73909,37101,719,10,0
29,38351,7775,513,28,0
35,89624,36647,668,29,0
44,73330,24539,413,12,0
24,142477,41738,802,1,0
32,35282,31616,610,6,0
57,104866,19119,768,14,0
57,127945,30159,343,24,1
63,41778,42099,714,10,0
26,44264,15295,545,1,0
59,79675,39710,383,6,1
44,25075,29685,506,3,0
31,95948,30479,450,10,1
33,68454,38629,827,28,0
54,48365,47043,464,1,1
45,92766,22033,444,28,0
27,68200,41902,336,15,1
24,31002,49571,632,6,0
28,33947,20408,702,12,0
40,99222,22420,713,4,0
49,114840,21351,344,16,0
30,136219,9131,701,20,0
63,98610,49825,505,11,1
54,72142,16349,361,27,0
46,76307,49254,719,18,0
61,24493,43225,767,6,0
23,144023,43847,318,5,1
26,70085,17453,664,7,0
25,54228,23814,599,12,0
25,99676,23263,306,4,0
43,71875,17158,727,1,0
29,51655,20735,416,8,0
55,63472,20830,806,29,0
40,69437,49673,845,10,0
62,69416,28926,624,23,0
55,79711,39779,354,5,1
38,26816,8373,341,28,0
37,97175,15335,596,25,0
44,84307,28741,530,6,0
23,132728,15692,752,24,0
52,66733,39057,693,6,0
55,148202,6447,821,18,0
58,115028,24583,657,5,0
33,136450,27765,743,10,0
45,31240,28906,427,28,0
29,118234,24567,704,10,0
24,112493,19139,691,6,0
34,145149,43230,492,1,1
57,118344,24520,377,18,0
54,91363,24702,384,3,0
31,52762,30566,329,25,1
61,28259,12657,348,5,0
23,70139,42688,444,16,1
48,148775,35134,368,24,1
49,34849,15345,357,4,0
29,101768,46185,778,28,0
23,126108,32413,744,27,0
45,109709,10208,595,29,0
54,74869,38455,470,6,1
32,146888,33018,446,8,1
62,83095,13080,783,24,0
29,137886,26902,605,0,0
35,90910,14486,745,0,0
60,106710,43862,520,18,1
45,43567,26158,677,5,0
25,55292,45460,565,17,1
31,94813,48856,394,9,1
54,117136,40871,561,27,1
44,71631,40208,370,10,1
35,29885,25519,518,0,0
58,79659,36379,832,0,0
28,74306,33378,391,12,1
25,86314,44892,426,4,1
46,85087,19031,379,19,0
38,49165,19536,537,0,0
26,78929,5446,671,19,0
57,87028,41683,785,2,0
33,115998,22618,324,17,0
48,69812,11587,455,8,0
25,70500,36480,816,13,0
33,99151,37994,829,26,0
37,78643,25527,356,16,0
60,64900,28569,318,22,0
52,62946,16151,683,13,0
49,27851,10558,492,28,0
23,36288,49739,536,3,1
60,92692,37954,686,4,0
54,87580,48837,725,25,0
60,27368,40303,576,20,1
47,105436,39700,526,16,1
33,116136,32500,622,21,0
53,66403,7032,452,28,0
26,111170,6252,536,24,0
44,29168,10509,354,1,0
39,106497,42842,735,22,0
36,69879,18900,408,21,0
60,79871,19523,483,4,0
48,129632,6881,667,3,0
53,131623,38037,497,3,1
61,109388,6630,670,5,0
33,118646,25789,672,19,0
63,52174,27523,796,20,0
45,119751,22958,500,12,0
62,112491,48852,808,21,0
56,26581,6695,621,4,0
47,130155,19821,574,22,0
58,91853,8262,510,24,0
27,84046,6445,803,25,0
25,69678,21436,417,22,0
63,128392,14949,341,6,0
51,131250,28963,614,19,0
43,46649,34932,628,0,0
62,147795,11901,316,13,0
30,108668,38487,582,23,1
52,102325,13597,557,3,0
63,34567,11855,318,16,0
50,100404,23678,828,20,0
59,109906,13263,722,13,0
51,128069,30805,765,15,0
38,116019,31143,672,13,0
56,81944,16874,380,15,0
22,138428,32529,847,23,0
34,98002,25866,723,19,0
33,48803,19079,728,28,0
49,38230,12243,687,27,0
32,37862,34872,503,7,1
59,63355,14018,495,23,0
22,51259,17100,584,2,0
52,119075,24800,495,24,0
33,107445,31910,606,18,0
47,50795,34437,313,0,1
61,134604,42588,445,1,1
37,28770,16001,356,14,0
60,31093,24942,509,21,0
51,66571,25862,828,27,0
54,20193,16669,643,9,0
44,120311,20916,578,17,0
55,37569,15878,508,21,0
26,137082,7985,634,13,0
39,31190,37369,587,16,1
50,82824,13112,551,26,0
27,62752,46235,564,12,1
30,52327,23931,570,0,0
61,62070,32340,718,4,0
52,105925,5336,510,25,0
54,60197,47933,664,12,0
48,22261,24363,375,26,0
35,138424,8968,620,24,0
50,113905,38678,732,13,0
57,46512,21279,408,23,0
49,26716,8129,821,2,0
42,106795,43215,346,14,1
24,48933,43897,678,18,0
40,127225,10850,395,16,0
52,24378,25588,402,29,0
56,60583,45214,445,2,1
24,132082,16949,326,15,0
47,105371,13519,829,13,0
37,49033,31375,381,11,1
32,44000,38082,727,27,0
42,131032,16737,778,11,0
37,95868,6134,461,28,0
30,62604,15938,701,10,0
21,88336,29486,807,16,0
42,115074,31096,337,7,1
46,115655,46115,810,16,0
38,93869,10592,692,20,0
34,25410,23108,793,24,0
49,103375,22270,499,22,0
32,76044,32649,554,19,1
56,83315,15997,478,10,0
55,116055,38489,846,24,0
32,91344,14104,688,24,0
27,26796,5870,697,1,0
49,106716,33684,457,9,1
31,74245,44519,303,9,1
53,63056,39524,466,10,1
26,37709,35957,767,27,0
35,139664,38885,708,5,0
52,78557,49369,711,3,0
31,37543,40596,503,23,1
43,57418,34866,493,11,1
46,114611,35676,534,10,1
54,123291,18878,449,22,0
54,133504,44760,458,22,1
49,123001,32559,578,26,1
24,116038,11771,703,25,0
37,36724,21526,610,24,0
55,23828,34896,367,12,1
33,136656,36923,762,4,0
61,37087,41203,387,5,1
59,32605,44390,516,0,1
35,51337,17852,300,5,0
49,25482,48391,434,17,1
49,85333,6848,650,21,0
31,112541,36027,439,8,1
52,108296,40464,432,23,1
22,70952,39485,477,24,1
34,25463,24456,657,28,0
40,132164,14259,679,14,0
42,90448,40554,749,25,0
31,24648,18409,762,7,0
47,53623,8791,407,18,0
23,79156,30864,421,23,1
37,55634,41639,316,15,1
64,64602,39574,495,5,1
48,134598,22888,626,28,0
49,69334,24692,617,5,0
41,88648,28501,778,21,0
36,42054,18304,551,2,0
57,90028,32527,802,9,0
40,42207,23074,418,0,0
26,100650,20549,797,27,0
39,119821,34963,785,13,0
25,101554,30920,344,3,1
23,41386,35826,613,25,0
21,103276,41071,478,11,1
58,79518,21061,717,5,0
35,72781,33810,377,10,1
54,72780,27800,625,11,0
55,81440,48423,656,9,0
45,64199,46692,715,17,0
44,81035,14940,814,6,0
32,28210,8924,513,6,0
38,64363,33054,373,10,1
35,131175,14783,808,3,0
64,98279,42253,631,19,0
36,80348,18233,392,0,0
47,75284,29484,818,12,0
28,127628,30068,568,17,1
45,129835,5191,675,8,0
37,92124,30074,303,25,1
49,88847,9917,437,23,0
28,42432,43599,530,23,1
35,146252,30832,828,8,0
47,84089,47928,351,22,1
27,75398,25706,624,28,0
23,119291,18682,576,8,0
49,23321,31762,835,9,0
64,101348,28383,785,27,0
44,57383,32796,815,1,0
23,133816,28666,451,5,0
40,98682,30662,782,14,0
35,143053,39642,558,2,1
45,99190,46830,623,10,0
50,72893,42531,467,5,1
34,55820,15234,609,2,0
27,141262,14221,778,23,0
37,86262,16410,355,10,0
64,23760,19519,772,14,0
40,42190,6051,595,12,0
56,87411,49993,760,19,0
29,43377,14765,623,27,0
58,66737,16382,440,9,0
42,89569,17580,561,5,0
22,58211,37323,719,14,0
44,102909,49757,540,24,1
28,23744,16939,654,17,0
31,145566,34964,479,17,1
33,44995,5307,365,6,0
37,36977,8359,647,14,0
28,149508,34648,470,17,1
41,117938,40944,773,17,0
38,54542,39019,833,19,0
50,30651,43134,666,8,0
38,119239,32323,406,23,1
51,98931,11226,738,1,0
58,115344,26689,526,7,0
52,122112,35971,743,19,0
31,36715,30954,741,1,0
45,64409,29423,695,10,0
53,44306,35391,383,25,1
58,39086,19330,312,6,0
61,34376,9891,792,5,0
28,81350,9992,567,29,0
31,91425,6961,824,9,0
42,123358,17497,419,4,0
44,56636,37551,652,10,0
61,106120,15848,356,0,0
37,134889,18255,339,1,0
32,71649,9567,635,23,0
52,54610,44281,472,0,1
35,30058,25389,846,18,0
36,144876,49523,558,1,1
42,148265,48919,816,20,0
48,94637,21567,822,19,0
40,98033,8358,416,28,0
53,90194,27999,483,22,0
30,96917,47358,415,20,1
60,84200,15988,461,23,0
52,125848,45446,842,3,0
53,126022,36521,536,11,1
22,66619,10698,365,21,0
53,37154,6273,369,19,0
53,39539,32543,746,17,0
61,145381,36349,715,0,0
33,80058,16241,831,29,0
50,82068,14497,740,29,0
53,97313,46875,763,0,0
33,119932,37703,695,23,0
46,50373,49041,694,13,0
42,53154,36954,625,3,0
59,26031,13002,390,4,0
22,113533,9247,369,10,0
58,91975,46988,465,23,1
59,42785,26698,513,27,0
46,98928,24738,634,22,0
35,138696,15703,668,12,0
54,48669,22570,348,15,0
62,114475,17392,351,23,0
64,137154,49724,588,12,1
60,22282,37299,538,23,1
31,54624,20641,432,21,0
23,68438,18998,465,25,0
26,109900,11305,673,1,0
29,87534,37726,672,15,0
26,51705,23782,777,5,0
29,58244,17721,778,13,0
59,94964,44763,599,0,1
51,57437,17427,381,16,0
52,97872,25566,386,10,0
61,94878,7230,524,18,0
32,139006,11511,315,2,0
28,125368,47229,657,10,0
28,92982,31177,462,28,1
48,70583,9765,813,4,0
40,58392,25354,649,16,0
27,27461,28929,763,25,0
31,120123,33820,674,21,0
40,30516,34523,391,6,1
36,99285,10552,480,9,0
24,37514,5627,600,27,0
26,148657,16989,488,28,0
42,141251,18780,613,10,0
46,120962,11589,792,2,0
23,56268,39812,427,19,1
61,110486,33128,818,9,0
62,120424,43652,725,26,0
34,56788,32790,486,9,1
31,95749,45953,849,13,0
38,81049,5249,752,11,0
32,82493,24309,770,14,0
43,56027,30901,523,9,1
32,113547,28576,453,29,0
33,62849,36508,650,9,0
45,120127,14175,446,25,0
39,37858,30464,648,18,0
56,104162,21260,481,0,0
28,99003,40440,478,23,1
49,72395,34546,338,28,1
52,59758,45047,302,25,1
64,74312,46430,363,9,1
38,88670,6987,328,1,0
26,136758,30105,671,16,0
38,102279,17948,822,29,0
39,35434,18026,396,23,0
42,84047,7773,741,6,0
57,67775,14878,502,6,0
52,95769,47946,710,19,0
61,134682,15377,320,26,0
23,86677,12347,401,8,0
48,103555,38776,345,21,1
30,148379,8783,365,1,0
55,105920,9298,463,13,0
49,128439,9668,410,16,0
35,65734,25671,637,0,0
53,121665,39820,422,8,1
27,108503,39484,746,19,0
32,60603,38078,590,20,1
50,96708,25922,711,18,0
41,101926,39028,580,3,1
51,88803,25316,342,27,0
44,59332,16460,785,7,0
40,111703,21968,350,12,0
57,41312,35266,509,3,1
24,113376,35209,425,8,1
48,104526,29000,791,8,0
64,64179,19011,808,21,0
40,91442,7866,557,17,0
44,134332,10898,487,11,0
52,137961,23395,529,9,0
61,60379,44019,488,10,1
56,37297,42707,714,6,0
54,22011,9006,309,8,0
56,136130,39393,413,5,1
22,140234,15956,375,18,0
35,64014,35663,801,15,0
54,132094,11078,384,29,0
56,31738,34631,348,14,1
26,114333,35140,794,6,0
59,67498,46691,686,15,0
62,147792,8961,688,4,0
32,31120,34277,517,15,1
23,136517,46574,645,0,0
38,28767,36417,529,18,1
60,42852,27484,554,4,0
41,99239,23103,535,6,0
35,20929,34345,325,18,1
53,97487,44454,560,21,1
55,138387,6587,570,4,0
46,111575,47571,422,28,1
28,146155,26031,556,16,0
56,134149,31212,720,25,0
50,115040,15350,558,21,0
43,37438,23816,346,29,0
62,68515,25288,824,7,0
64,25744,34432,507,28,1
34,103820,49222,610,28,0
34,62417,11837,448,0,0
22,125284,39217,737,1,0
57,27069,25884,454,29,0
25,62359,10454,389,14,0
58,39799,14424,657,19,0
61,118746,41885,473,27,1
34,113762,46637,516,17,1
59,140906,48618,755,10,0
45,90188,23412,498,24,0
40,109859,44613,785,9,0
22,142521,25142,832,23,0
59,127674,42392,499,23,1
26,27597,13848,670,3,0
37,67093,18136,747,4,0
45,57226,5589,547,3,0
48,92127,25908,563,12,0
22,134650,11509,357,24,0
55,111369,45461,601,12,0
57,97362,47222,330,17,1
25,46417,49476,797,28,0
21,38693,14968,548,26,0
60,99674,7462,570,23,0
32,140956,14460,693,1,0
56,135598,38783,801,15,0
43,139028,14275,383,0,0
51,147517,33677,664,25,0
31,73161,18269,848,18,0
30,141316,5406,641,8,0
23,22169,12384,706,27,0
34,104092,27553,724,2,0
36,42052,29366,392,24,0
30,91849,49036,711,6,0
49,93851,22369,731,28,0
30,28036,16795,458,9,0
32,51778,9485,313,0,0
50,47734,46669,672,9,0
61,43173,7618,524,20,0
21,50403,35143,804,8,0
25,86321,34425,372,27,1
40,91675,27673,548,14,0
28,26344,14603,810,14,0
63,38800,44696,515,2,1
32,45372,10368,840,24,0
21,81516,9621,519,4,0
40,40538,19719,520,8,0
48,83918,34227,688,25,0
63,34973,48894,341,21,1
57,91155,12566,582,8,0
57,120240,17306,357,22,0
32,79500,29042,836,6,0
57,56575,20086,372,23,0
64,125455,22387,428,22,0
48,62261,32042,725,11,0
35,130659,28888,424,24,0
26,47716,31514,366,26,1
64,23236,23323,305,8,0
40,35848,23019,613,5,0
34,22352,14890,625,22,0
22,21932,45863,805,1,0
29,96449,15283,381,8,0
57,28556,23279,301,27,0
40,106836,27908,503,28,0
46,25498,42952,703,16,0
49,96118,40170,402,0,1
21,70098,42663,835,18,0
55,84386,49172,667,27,0
26,132169,14343,511,5,0
57,29569,15637,508,4,0
25,136127,39724,416,1,1
53,146060,44791,777,8,0
34,76882,34134,404,29,1
32,90393,8907,794,28,0
62,20340,38575,345,25,1
40,63949,9827,630,13,0
44,102302,35607,515,3,1
63,82443,18699,791,3,0
54,111668,42292,748,20,0
45,94027,30883,835,14,0
49,20138,10313,810,7,0
59,20358,18598,757,25,0
51,139619,33807,846,3,0
63,95250,9887,835,15,0
43,105376,8854,839,20,0
64,119931,19536,783,27,0
58,50654,8558,315,3,0
40,45879,14772,542,29,0
43,101532,41343,506,15,1
36,75778,40186,570,21,1
62,57772,41966,414,11,1
28,78478,38769,598,15,1
41,84353,44887,782,18,0
21,46762,24229,696,7,0
28,33283,14673,693,5,0
49,83922,32877,374,9,1
52,59420,36601,781,4,0
58,75568,43084,402,28,1
25,105090,21244,596,17,0
42,40219,32356,477,9,1
54,77169,21806,514,9,0
21,120455,28099,614,6,0
46,94965,49641,338,17,1
63,66840,42034,558,0,1
30,64695,45317,306,6,1
50,125209,24094,348,20,0
38,104754,15589,837,0,0
37,97988,6657,460,14,0
46,78342,37764,475,3,1
28,134516,44531,301,27,1
60,38951,8164,754,28,0
32,21307,32542,575,19,1
47,100388,23437,797,9,0
28,110768,46247,327,22,1
45,55428,43505,632,8,0
24,128707,24601,300,1,0
53,112021,33430,487,27,1
21,138418,11009,355,13,0
39,95774,9552,846,15,0
51,58975,14417,411,0,0
36,137850,46989,609,1,0
34,21140,7671,335,6,0
25,148865,11519,738,28,0
61,44842,41730,624,9,0
46,46421,17734,606,21,0
48,21708,8722,833,19,0
22,23630,9906,408,0,0
26,39595,35096,671,12,0
29,96021,45031,656,0,0
53,48308,18699,480,4,0
61,64789,26438,655,15,0
45,75690,48856,367,14,1
33,46086,38576,591,16,1
29,36859,46938,480,27,1
33,27684,37247,765,22,0
51,111088,48461,733,15,0
61,21207,32938,763,12,0
31,66099,45469,833,10,0
24,87496,22600,365,16,0
54,86093,25435,320,16,0
58,49689,23581,683,1,0
24,68651,19191,338,12,0
58,33893,24190,584,13,0
39,117808,32386,635,10,0
